threshold,sample_rate,case,max_probability,active_occupancy_pct,event_count,max_active_duration_ms,first_onset_latency_ms,detected
0.62,44100,female_upper,0.04872734450279918,0.0,0,0.0,,False
0.62,44100,distorted_vocal,0.05379974336308975,0.0,0,0.0,,False
0.62,48000,s,0.7465354404803449,11.203703703703704,1,100.83333333333333,4.979166666666646,True
0.62,48000,sh,0.6107642151380893,0.0,0,0.0,,False
0.62,48000,ch,0.6179234324622555,0.0,0,0.0,,False
0.62,48000,t,0.739732075585014,4.425925925925926,1,39.833333333333336,1.3124999999999942,True
0.62,48000,bright_vowel,0.07968282173840971,0.0,0,0.0,,False
0.62,48000,air,0.09506405721018914,0.0,0,0.0,,False
0.62,48000,breath,0.5094946951819403,0.0,0,0.0,,False
0.62,48000,falsetto,0.07898749407222147,0.0,0,0.0,,False
0.62,48000,female_upper,0.04924506076685707,0.0,0,0.0,,False
0.62,48000,distorted_vocal,0.03068265175229239,0.0,0,0.0,,False
0.62,96000,s,0.7931994639268022,11.898148148148149,1,107.08333333333333,4.322916666666677,True
0.62,96000,sh,0.6580518224637841,11.657407407407407,1,104.91666666666667,6.656249999999975,True
0.62,96000,ch,0.6657199855538517,6.4907407407407405,1,58.416666666666664,2.9895833333333233,True
0.62,96000,t,0.7859188901588698,4.824074074074074,1,43.416666666666664,1.0729166666666456,True
0.62,96000,bright_vowel,0.09110201481072658,0.0,0,0.0,,False
0.62,96000,air,0.11112842897659615,0.0,0,0.0,,False
0.62,96000,breath,0.5540778456654741,0.0,0,0.0,,False
0.62,96000,falsetto,0.08783006052136838,0.0,0,0.0,,False
0.62,96000,female_upper,0.05477402153214759,0.0,0,0.0,,False
0.62,96000,distorted_vocal,0.06116597813514833,0.0,0,0.0,,False
0.6,44100,s,0.737090525176546,11.227009322247417,1,101.04308390022676,4.761904761904745,True
0.6,44100,sh,0.6023554594354809,9.352481733434114,1,84.17233560090703,10.929705215419471,True
0.6,44100,ch,0.6091221219992478,5.6638951877047115,1,50.9750566893424,4.761904761904745,True
0.6,44100,t,0.7307868207375332,4.313429075333837,1,38.82086167800453,1.315192743764182,True
0.6,44100,bright_vowel,0.08558636274491617,0.0,0,0.0,,False
0.6,44100,air,0.09319333624038213,0.0,0,0.0,,False
0.6,44100,breath,0.5019965157497732,0.0,0,0.0,,False
0.6,44100,falsetto,0.07763057159411325,0.0,0,0.0,,False
0.6,44100,female_upper,0.04872734450279918,0.0,0,0.0,,False
0.6,44100,distorted_vocal,0.05379974336308975,0.0,0,0.0,,False
0.6,48000,s,0.7465354404803449,11.25925925925926,1,101.33333333333333,4.479166666666645,True
0.6,48000,sh,0.6107642151380893,10.12962962962963,1,91.16666666666667,9.145833333333297,True
0.6,48000,ch,0.6179234324622555,5.814814814814815,1,52.333333333333336,3.4791666666666443,True
0.6,48000,t,0.739732075585014,4.425925925925926,1,39.833333333333336,1.3124999999999942,True
0.6,48000,bright_vowel,0.07968282173840971,0.0,0,0.0,,False
0.6,48000,air,0.09506405721018914,0.0,0,0.0,,False
0.6,48000,breath,0.5094946951819403,0.0,0,0.0,,False
0.6,48000,falsetto,0.07898749407222147,0.0,0,0.0,,False
0.6,48000,female_upper,0.04924506076685707,0.0,0,0.0,,False
0.6,48000,distorted_vocal,0.03068265175229239,0.0,0,0.0,,False
0.6,96000,s,0.7931994639268022,11.898148148148149,1,107.08333333333333,4.322916666666677,True
0.6,96000,sh,0.6580518224637841,11.703703703703704,1,105.33333333333333,6.239583333333298,True
0.6,96000,ch,0.6657199855538517,6.5092592592592595,1,58.583333333333336,2.822916666666675,True
0.6,96000,t,0.7859188901588698,4.824074074074074,1,43.416666666666664,1.0729166666666456,True
0.6,96000,bright_vowel,0.09110201481072658,0.0,0,0.0,,False
0.6,96000,air,0.11112842897659615,0.0,0,0.0,,False
0.6,96000,breath,0.5540778456654741,0.0,0,0.0,,False
0.6,96000,falsetto,0.08783006052136838,0.0,0,0.0,,False
0.6,96000,female_upper,0.05477402153214759,0.0,0,0.0,,False
0.6,96000,distorted_vocal,0.06116597813514833,0.0,0,0.0,,False
0.58,44100,s,0.737090525176546,11.26732174351222,1,101.40589569160997,4.399092970521545,True
0.58,44100,sh,0.6023554594354809,9.674981103552533,1,87.07482993197279,8.027210884353709,True
0.58,44100,ch,0.6091221219992478,5.845301083396322,1,52.60770975056689,3.1292517006802356,True
0.58,44100,t,0.7307868207375332,4.313429075333837,1,38.82086167800453,1.315192743764182,True
0.58,44100,bright_vowel,0.08558636274491617,0.0,0,0.0,,False
0.58,44100,air,0.09319333624038213,0.0,0,0.0,,False
0.58,44100,breath,0.5019965157497732,0.0,0,0.0,,False
0.58,44100,falsetto,0.07763057159411325,0.0,0,0.0,,False
0.58,44100,female_upper,0.04872734450279918,0.0,0,0.0,,False
0.58,44100,distorted_vocal,0.05379974336308975,0.0,0,0.0,,False
0.58,48000,s,0.7465354404803449,11.25925925925926,1,101.33333333333333,4.479166666666645,True
0.58,48000,sh,0.6107642151380893,10.296296296296296,1,92.66666666666667,7.645833333333297,True
0.58,48000,ch,0.6179234324622555,5.851851851851852,1,52.666666666666664,3.1458333333333477,True
0.58,48000,t,0.739732075585014,4.444444444444445,1,40.0,1.145833333333346,True
