sample_rate_hz,case,candidate,periodicity,veto,baseline_high_fraction,candidate_high_fraction,baseline_mean_t,candidate_mean_t,context_probability_median,context_probability_max,finite
48000,breath,context_veto,0.08931111711223232,0.0,1.0,0.0,1.0,0.25032985497967974,0.6710631364321864,0.8367353528686055,1.0
48000,long_s,simple_veto,0.057476736118976135,0.0,1.0,4.6296296296296294e-05,1.0,0.2500267591832602,0.7923980127432712,0.8823114561233355,1.0
48000,long_s,context_veto,0.057476736118976135,0.0,1.0,0.0,1.0,0.2500124022001953,0.7923980127432712,0.8823114561233355,1.0
48000,steady_vowel,simple_veto,0.9968002713169701,1.0,0.21916666666666668,0.21916666666666668,0.6244888893673938,0.6244888893673938,0.024887131159901002,0.7271974578604844,1.0
48000,steady_vowel,context_veto,0.9968002713169701,1.0,0.21916666666666668,0.21916666666666668,0.6244888893673938,0.6244888893673938,0.024887131159901002,0.7271974578604844,1.0
48000,plosive_low,simple_veto,0.2534236715408836,0.0,1.0,0.9083333333333333,1.0,0.8476960362307004,0.23533336583863496,0.7271974499331904,1.0
48000,plosive_low,context_veto,0.2534236715408836,0.0,1.0,0.9033333333333333,1.0,0.7960064961662217,0.23533336583863496,0.7271974499331904,1.0
48000,startup_bright,simple_veto,0.8490055629205255,1.0,0.7494791666666667,0.7494791666666667,0.7494791666666667,0.7494791666666667,0.3611660858818835,0.7271974611472567,1.0
48000,startup_bright,context_veto,0.8490055629205255,1.0,0.7494791666666667,0.7494791666666667,0.7494791666666667,0.7494791666666667,0.3611660858818835,0.7271974611472567,1.0
96000,voiced_low,simple_veto,0.9842480368852202,1.0,0.9996527777777777,0.9996527777777777,0.9996527777777777,0.9996527777777777,0.02629074624280181,0.8837831425046974,1.0
96000,voiced_low,context_veto,0.9842480368852202,1.0,0.9996527777777777,0.9996527777777777,0.9996527777777777,0.9996527777777777,0.02629074624280181,0.8837831425046974,1.0
96000,voiced_high,simple_veto,1.0,1.0,0.9996527777777777,0.9996527777777777,0.9996527777777777,0.9996527777777777,0.08564435952294713,0.8837831483711501,1.0
96000,voiced_high,context_veto,1.0,1.0,0.9996527777777777,0.9996527777777777,0.9996527777777777,0.9996527777777777,0.08564435952294713,0.8837831483711501,1.0
96000,voiced_high_bright,simple_veto,1.0,1.0,0.9996527777777777,0.9996527777777777,0.9996527777777777,0.9996527777777777,0.4307124943258937,0.883783153432191,1.0
96000,voiced_high_bright,context_veto,1.0,1.0,0.9996527777777777,0.9996527777777777,0.9996527777777777,0.9996527777777777,0.4307124943258937,0.883783153432191,1.0
96000,noisy_bright_700,simple_veto,0.7810649884490419,0.9836593100238759,1.0,1.0,1.0,0.9877444825179069,0.5003816987930132,0.883747295758066,1.0
96000,noisy_bright_700,context_veto,0.7810649884490419,0.9836593100238759,1.0,1.0,1.0,0.9877444825179069,0.5003816987930132,0.883747295758066,1.0
96000,sibilant,simple_veto,0.08360841368020783,0.0,1.0,0.0,1.0,0.2500276393575955,0.8885234394190045,0.9236512615924525,1.0
96000,sibilant,context_veto,0.08360841368020783,0.0,1.0,0.0,1.0,0.25002320328712296,0.8885234394190045,0.9236512615924525,1.0
