sample_rate,cutoff_hz,case,event_max,body_mean,whole_mean
48000,80,male_low,3.053456949566254,3.099071223025327,3.0065209289547656
48000,80,female,3.3036412886950566,3.3419149607667014,3.265422392985562
48000,80,rumble,3.05409824266928,3.107302135121979,3.015483393414956
48000,80,proximity,3.671987634720737,3.725160485191226,3.6265727900182436
48000,80,plosive,3.5275478687334805,3.099159642273294,3.1332867497356656
48000,80,consonant,4.061154305272344,3.0992251994267526,3.1780134028216747
48000,80,sibilant,4.36039976081242,3.099479021902037,3.231815546941492
48000,100,male_low,2.7234889045127346,2.7696519135372357,2.6825070499449226
48000,100,female,3.3190086746869425,3.3664716446963787,3.2850258644027726
48000,100,rumble,2.7214281690495787,2.7737323336138906,2.6868830492534395
48000,100,proximity,3.3617611006796846,3.4192700524924144,3.3232460534758204
48000,100,plosive,2.919550483457428,2.7697180270529564,2.779566582409177
48000,100,consonant,4.002344592140525,2.769861781792919,2.8773600397932673
48000,100,sibilant,4.264158915114616,2.7701860157827882,2.937250861857878
96000,0,male_low,3.310954168221209,3.317966056734739,3.2482185502062153
96000,0,female,3.2672038654365245,3.278731164336364,3.211659130159673
96000,0,rumble,3.7168394329141976,3.7232702601908807,3.6742711866505586
96000,0,proximity,4.064875272691849,4.0639694038205025,3.985129426686974
96000,0,plosive,5.446272389831742,3.3180173469896035,3.5380097476897534
96000,0,consonant,4.194398872077669,3.317970567611274,3.3945152980966027
96000,0,sibilant,4.5110986706966125,3.318011864912484,3.4494361880913935
96000,40,male_low,3.345937795872456,3.3637775786808186,3.2824415486425353
96000,40,female,3.2724219156913112,3.284182084664479,3.2163391011562754
96000,40,rumble,3.468857921520923,3.47711474121092,3.4026015354858
96000,40,proximity,4.052753184290125,4.059860095718157,3.971139399552559
96000,40,plosive,5.0055175992813705,3.3641929023993025,3.526945358227479
96000,40,consonant,4.1610778283963405,3.36394120012865,3.429729501514704
96000,40,sibilant,4.486307313497503,3.3642821926434685,3.481416396472315
96000,60,male_low,3.282698400782595,3.3234431975394796,3.2319193411906677
96000,60,female,3.2861682728991477,3.3035377534703705,3.233317600619813
96000,60,rumble,3.305366131973427,3.3462085647544675,3.2565942844335916
96000,60,proximity,3.9281035184283564,3.9570370684648153,3.8615639821549936
96000,60,plosive,4.278978672519527,3.3236022181112825,3.4069890664406426
96000,60,consonant,4.111062725929753,3.323576869646571,3.38583914823833
96000,60,sibilant,4.4336433004377485,3.323810903279235,3.435727878382117
