file,singer,stress,clean_mean_delta_db,clean_p95_delta_db,clean_ripple_delta_db,stress_reduction,solver_residual_db
m2:m2_arpeggios_breathy_a.wav,m2,rumble_-12,0.01691872376807657,0.02477717903204102,0.0001493966929402655,0.7597982971581468,2.1625675974412673e-06
m2:m2_arpeggios_breathy_a.wav,m2,rumble_-6,0.01691872376807657,0.02477717903204102,0.0001493966929402655,0.7290150502101491,2.1625675974412673e-06
m2:m2_arpeggios_breathy_a.wav,m2,plosive,0.01691872376807657,0.02477717903204102,0.0001493966929402655,0.22186189678647605,2.1625675974412673e-06
m2:m2_arpeggios_lip_trill_a.wav,m2,rumble_-12,-0.0033003354840355215,-0.0006314528749413739,9.844407023842927e-05,0.7577092985053235,2.018702224493296e-06
m2:m2_arpeggios_lip_trill_a.wav,m2,rumble_-6,-0.0033003354840355215,-0.0006314528749413739,9.844407023842927e-05,0.7250782041282022,2.018702224493296e-06
m2:m2_arpeggios_lip_trill_a.wav,m2,plosive,-0.0033003354840355215,-0.0006314528749413739,9.844407023842927e-05,0.18820325757026746,2.018702224493296e-06
f3:f3_arpeggios_belt_a.wav,f3,rumble_-12,0.0004913136062016932,-0.0002163076600201208,-5.987458714282537e-05,0.7445537335553393,1.8282007037129233e-06
f3:f3_arpeggios_belt_a.wav,f3,rumble_-6,0.0004913136062016932,-0.0002163076600201208,-5.987458714282537e-05,0.7107420558712022,1.8282007037129233e-06
f3:f3_arpeggios_belt_a.wav,f3,plosive,0.0004913136062016932,-0.0002163076600201208,-5.987458714282537e-05,0.23019367571248872,1.8282007037129233e-06
f3:f3_arpeggios_breathy_a.wav,f3,rumble_-12,0.005648249641252434,0.0037361106067033134,2.7003091703445455e-05,0.737710610977637,2.104122312385215e-06
f3:f3_arpeggios_breathy_a.wav,f3,rumble_-6,0.005648249641252434,0.0037361106067033134,2.7003091703445455e-05,0.6944826797856332,2.104122312385215e-06
f3:f3_arpeggios_breathy_a.wav,f3,plosive,0.005648249641252434,0.0037361106067033134,2.7003091703445455e-05,0.15885195203268943,2.104122312385215e-06
f4:f4_arpeggios_breathy_e.wav,f4,rumble_-12,-0.0067685472858105555,-0.0020881025262866615,7.253530719815784e-05,0.834845622251174,3.848133188544267e-06
f4:f4_arpeggios_breathy_e.wav,f4,rumble_-6,-0.0067685472858105555,-0.0020881025262866615,7.253530719815784e-05,0.7189326489401126,3.848133188544267e-06
f4:f4_arpeggios_breathy_e.wav,f4,plosive,-0.0067685472858105555,-0.0020881025262866615,7.253530719815784e-05,0.19686560192195135,3.848133188544267e-06
f4:f4_arpeggios_lip_trill_a.wav,f4,rumble_-12,0.006143517494952455,0.0023122231265526594,-0.0006874558607183751,0.7408912190735211,2.7293941369244124e-06
f4:f4_arpeggios_lip_trill_a.wav,f4,rumble_-6,0.006143517494952455,0.0023122231265526594,-0.0006874558607183751,0.716578855467485,2.7293941369244124e-06
f4:f4_arpeggios_lip_trill_a.wav,f4,plosive,0.006143517494952455,0.0023122231265526594,-0.0006874558607183751,0.22095396802128198,2.7293941369244124e-06
m3:m3_arpeggios_belt_a.wav,m3,rumble_-12,-0.003062555944905565,-0.0008515999394189677,-0.00012256512778171733,0.7550356585081937,1.9035438416636907e-06
m3:m3_arpeggios_belt_a.wav,m3,rumble_-6,-0.003062555944905565,-0.0008515999394189677,-0.00012256512778171733,0.7256728055269445,1.9035438416636907e-06
