candidate,split,amount,mean_gr,p95_gr,p99_gr,max_gr,frac_gt10,gr_ripple,cross_source_mean_gr_std
desired_gr_scale_target100_5.2,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desired_gr_scale_target100_5.2,selection,12.5,0.6026571886716331,0.8117971035075519,0.8627266747248172,0.9005319209916993,0.0,0.008744641558221859,0.05305312637080792
desired_gr_scale_target100_5.2,selection,25.0,1.2053143773432662,1.6235942070151037,1.7254533494496345,1.8010638419833986,0.0,0.017489283116443717,0.10610625274161584
desired_gr_scale_target100_5.2,selection,37.5,1.8079715660148992,2.435391310522662,2.5881800241744526,2.7015957629750975,0.0,0.026233924674665662,0.15915937911242398
desired_gr_scale_target100_5.2,selection,50.0,2.4106287546865324,3.2471884140302074,3.450906698899269,3.6021276839667973,0.0,0.034978566232887434,0.21221250548323167
desired_gr_scale_target100_5.2,selection,62.5,3.0132859433581665,4.058985517537762,4.313633373624086,4.502659604958493,0.0,0.04372320779110962,0.26526563185403973
desired_gr_scale_target100_5.2,selection,75.0,3.6159431320297983,4.870782621045324,5.176360048348905,5.403191525950195,0.0,0.052467849349331325,0.31831875822484795
desired_gr_scale_target100_5.2,selection,87.5,4.218600320701432,5.68257972455287,6.039086723073715,6.303723446941894,0.0,0.061212490907553006,0.37137188459565595
desired_gr_scale_target100_5.2,selection,100.0,4.821257509373065,6.494376828060415,6.901813397798538,7.204255367933595,0.0,0.06995713246577487,0.42442501096646335
anchor_threshold_target100_5.4,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_threshold_target100_5.4,selection,12.5,0.3192761435398096,0.822515299526744,1.055527222239132,1.225794651335382,0.0,0.00732632272237726,0.1214685790671603
anchor_threshold_target100_5.4,selection,25.0,0.7223314964082419,1.512972497056658,1.823194467650322,2.050558202145336,0.0,0.013310303382067387,0.19799927058154856
anchor_threshold_target100_5.4,selection,37.5,1.3214265959542453,2.4168786803654445,2.7983503348066057,3.0742447856115978,0.0,0.021886138265427513,0.2771105510841411
anchor_threshold_target100_5.4,selection,50.0,2.116462259873722,3.491139555016155,3.897149988534271,4.1988843248121,0.0,0.03313942121519717,0.35079045701712475
anchor_threshold_target100_5.4,selection,62.5,2.8337501726906167,4.352804035935444,4.7601892615704955,5.062688498031621,0.0,0.04318688256501842,0.39045168542745406
anchor_threshold_target100_5.4,selection,75.0,3.6127022129915556,5.216616901564358,5.624040651173405,5.92651325369796,0.0,0.054055048978732215,0.4124254744886355
anchor_threshold_target100_5.4,selection,87.5,4.310722230350413,5.960137713956378,6.367579967079739,6.670021702507607,0.0,0.06347983352169911,0.4213650547474038
anchor_threshold_target100_5.4,selection,100.0,5.022762044788202,6.703657159162273,7.111097954809648,7.413536511355444,0.0,0.072362319345171,0.4251848777137114
desired_gr_scale_target100_5.4,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desired_gr_scale_target100_5.4,selection,12.5,0.6278452555985252,0.8379571448952842,0.888887244351206,0.9266920639194305,0.0,0.009045289918146375,0.05314810971421392
desired_gr_scale_target100_5.4,selection,25.0,1.2556905111970504,1.6759142897905683,1.777774488702412,1.853384127838861,0.0,0.01809057983629275,0.10629621942842785
desired_gr_scale_target100_5.4,selection,37.5,1.883535766795576,2.513871434685851,2.6666617330536178,2.780076191758294,0.0,0.027135869754439157,0.15944432914264162
desired_gr_scale_target100_5.4,selection,50.0,2.511381022394101,3.3518285795811367,3.555548977404824,3.706768255677722,0.0,0.0361811596725855,0.2125924388568557
desired_gr_scale_target100_5.4,selection,62.5,3.1392262779926265,4.189785724476424,4.444436221756035,4.633460319597161,0.0,0.045226449590732076,0.2657405485710693
desired_gr_scale_target100_5.4,selection,75.0,3.767071533591152,5.027742869371702,5.3333234661072355,5.560152383516588,0.0,0.054271739508878314,0.31888865828528323
desired_gr_scale_target100_5.4,selection,87.5,4.394916789189677,5.865700014267,6.222210710458439,6.486844447436008,0.0,0.06331702942702482,0.37203676799949625
