candidate,split,amount,mean_gr,p95_gr,p99_gr,max_gr,frac_gt10,gr_ripple,cross_source_mean_gr_std,ballistics_homogeneity_max_error
desired_gr_scale_target100_5.3,selection,75.0,3.5069792576758267,5.1161125474976785,5.209091477513729,5.224573846245681,0.0,0.009907439907042286,0.6807705233443715,0.0
desired_gr_scale_target100_5.3,selection,87.5,4.091475800621798,5.968797972080624,6.077273390432685,6.095336153953294,0.0,0.01155867989155012,0.7942322772350998,0.0
desired_gr_scale_target100_5.3,selection,100.0,4.675972343567768,6.82148339666357,6.94545530335164,6.966098461660907,0.0,0.013209919876057156,0.9076940311258285,0.0
desired_gr_scale_target100_5.4,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desired_gr_scale_target100_5.4,selection,12.5,0.5970567460773647,0.8657659320998073,0.8812624204358149,0.883842815224475,0.0,0.0016623172233682618,0.11377257364126632,0.0
desired_gr_scale_target100_5.4,selection,25.0,1.1941134921547294,1.7315318641996147,1.7625248408716299,1.76768563044895,0.0,0.0033246344467365236,0.22754514728253264,0.0
desired_gr_scale_target100_5.4,selection,37.5,1.7911702382320942,2.597297796299422,2.6437872613074447,2.651528445673425,0.0,0.004986951670104408,0.341317720923799,0.0
desired_gr_scale_target100_5.4,selection,50.0,2.388226984309459,3.4630637283992294,3.5250496817432597,3.5353712608979,0.0,0.006649268893473047,0.4550902945650653,0.0
desired_gr_scale_target100_5.4,selection,62.5,2.9852837303868234,4.328829660499037,4.406312102179075,4.419214076122376,0.0,0.008311586116841128,0.5688628682063313,0.0
desired_gr_scale_target100_5.4,selection,75.0,3.5823404764641884,5.194595592598844,5.287574522614889,5.30305689134685,0.0,0.009973903340208815,0.682635441847598,0.0
desired_gr_scale_target100_5.4,selection,87.5,4.179397222541553,6.060361524698651,6.168836943050705,6.186899706571325,0.0,0.01163622056357804,0.7964080154888641,0.0
desired_gr_scale_target100_5.4,selection,100.0,4.776453968618918,6.926127456798459,7.050099363486519,7.0707425217958,0.0,0.013298537786946094,0.9101805891301306,0.0
desired_gr_scale_target100_5.5,selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desired_gr_scale_target100_5.5,selection,12.5,0.6096626035014957,0.8788464396166678,0.894342927952674,0.896923322741335,0.0,0.001673265940882518,0.11404151588496976,0.0
desired_gr_scale_target100_5.5,selection,25.0,1.2193252070029914,1.7576928792333355,1.788685855905348,1.79384664548267,0.0,0.003346531881765036,0.22808303176993952,0.0
desired_gr_scale_target100_5.5,selection,37.5,1.8289878105044868,2.6365393188500033,2.6830287838580222,2.690769968224005,0.0,0.005019797822647061,0.3421245476549093,0.0
desired_gr_scale_target100_5.5,selection,50.0,2.438650414005983,3.515385758466671,3.577371711810696,3.58769329096534,0.0,0.006693063763530072,0.45616606353987904,0.0
desired_gr_scale_target100_5.5,selection,62.5,3.0483130175074784,4.394232198083339,4.47171463976337,4.484616613706676,0.0,0.008366329704412322,0.570207579424849,0.0
desired_gr_scale_target100_5.5,selection,75.0,3.6579756210089736,5.2730786377000065,5.3660575677160445,5.38153993644801,0.0,0.010039595645294122,0.6842490953098186,0.0
desired_gr_scale_target100_5.5,selection,87.5,4.26763822451047,6.151925077316674,6.260400495668718,6.278463259189346,0.0,0.011712861586176744,0.7982906111947887,0.0
desired_gr_scale_target100_5.5,selection,100.0,4.877300828011966,7.030771516933342,7.154743423621392,7.17538658193068,0.0,0.013386127527060143,0.9123321270797581,0.0
